Date,Open,High,Low,Close,Adj Close,Volume
2020-09-14,4.720000,4.740000,4.690000,4.700000,4.492367,160000
2020-09-15,4.830000,4.860000,4.800000,4.830000,4.616624,302600
2020-09-16,4.850000,4.880000,4.820000,4.860000,4.645299,128400
2020-09-17,4.830000,4.880000,4.820000,4.850000,4.635740,130300
2020-09-18,4.850000,4.850000,4.750000,4.750000,4.540158,237300
2020-09-21,4.600000,4.630000,4.550000,4.620000,4.415901,590900
2020-09-22,4.720000,4.720000,4.630000,4.670000,4.463692,1026100
2020-09-23,4.630000,4.630000,4.550000,4.570000,4.368110,340100
2020-09-24,4.560000,4.590000,4.440000,4.510000,4.310761,553600
2020-09-25,4.370000,4.410000,4.290000,4.390000,4.196062,622400
2020-09-28,4.310000,4.350000,4.290000,4.340000,4.148271,475800
2020-09-29,4.410000,4.410000,4.260000,4.290000,4.100480,1191500
2020-09-30,4.300000,4.380000,4.300000,4.360000,4.167387,502200
2020-10-01,4.360000,4.360000,4.290000,4.300000,4.110038,431700
2020-10-02,4.290000,4.300000,4.250000,4.280000,4.090921,317700
2020-10-05,4.270000,4.320000,4.260000,4.310000,4.119596,859300
2020-10-06,4.380000,4.400000,4.330000,4.350000,4.157829,216700
2020-10-07,4.240000,4.270000,4.220000,4.260000,4.071805,300100
2020-10-08,4.270000,4.280000,4.230000,4.280000,4.090921,180400
2020-10-09,4.310000,4.330000,4.290000,4.310000,4.119596,297100
2020-10-12,4.340000,4.350000,4.310000,4.350000,4.157829,382800
2020-10-13,4.310000,4.310000,4.240000,4.270000,4.081363,364300
2020-10-14,4.290000,4.290000,4.240000,4.260000,4.071805,217900
2020-10-15,4.210000,4.240000,4.190000,4.240000,4.052688,306100
2020-10-16,4.180000,4.190000,4.150000,4.160000,3.976223,734100
2020-10-19,4.170000,4.190000,4.150000,4.150000,3.966665,313100
2020-10-20,4.210000,4.270000,4.200000,4.250000,4.062247,239000
2020-10-21,4.230000,4.250000,4.210000,4.220000,4.033572,220600
2020-10-22,4.260000,4.290000,4.230000,4.270000,4.081363,360800
2020-10-23,4.260000,4.290000,4.260000,4.290000,4.100480,166900
2020-10-26,4.220000,4.230000,4.170000,4.190000,4.004898,204500
2020-10-27,4.140000,4.140000,4.060000,4.090000,3.909315,461300
2020-10-28,3.920000,3.920000,3.860000,3.890000,3.718151,1706500
2020-10-29,3.860000,3.960000,3.830000,3.950000,3.775500,902500
2020-10-30,3.880000,3.880000,3.830000,3.850000,3.679918,656300
2020-11-02,3.830000,3.900000,3.810000,3.880000,3.708592,666900
2020-11-03,3.990000,4.050000,3.990000,4.040000,3.861524,988300
2020-11-04,4.100000,4.220000,4.070000,4.180000,3.995339,417700
2020-11-05,4.220000,4.240000,4.200000,4.230000,4.043130,264400
2020-11-06,4.180000,4.220000,4.180000,4.210000,4.024014,485700
2020-11-09,4.440000,4.470000,4.400000,4.420000,4.224737,570500
2020-11-10,4.470000,4.490000,4.450000,4.490000,4.291644,536400
2020-11-11,4.470000,4.470000,4.400000,4.410000,4.215178,365800
2020-11-12,4.460000,4.500000,4.420000,4.440000,4.243853,179300
2020-11-13,4.540000,4.640000,4.540000,4.640000,4.435018,293200
2020-11-16,4.760000,4.820000,4.760000,4.820000,4.607066,483600
2020-11-17,4.710000,4.770000,4.700000,4.760000,4.549716,336000
2020-11-18,4.860000,4.870000,4.790000,4.790000,4.578391,270400
2020-11-19,4.750000,4.800000,4.740000,4.800000,4.587949,264700
2020-11-20,4.770000,4.770000,4.740000,4.770000,4.559275,111500
2020-11-23,4.830000,4.830000,4.740000,4.810000,4.597507,355400
2020-11-24,4.860000,4.920000,4.860000,4.920000,4.702648,360000
2020-11-25,4.920000,4.920000,4.880000,4.920000,4.702648,243000
2020-11-27,4.860000,4.870000,4.830000,4.850000,4.635740,109000
2020-11-30,4.720000,4.750000,4.660000,4.720000,4.511483,931900
2020-12-01,4.860000,4.890000,4.810000,4.840000,4.626183,2724300
2020-12-02,4.870000,4.940000,4.850000,4.940000,4.721765,190500
2020-12-03,4.930000,4.980000,4.900000,4.910000,4.693089,383500
2020-12-04,5.000000,5.070000,5.000000,5.060000,4.836463,236700
2020-12-07,5.130000,5.180000,5.120000,5.130000,4.903371,505900
